cluster_number,dpt1,literate_women,pn3,vacc_card,lst_day,night_light,prec,travel_hfa_malaria_atlas,travel_time_cities,prop,N,n,lng,lat
974,0.830936133861542,0.963567197322845,0.741354564825694,0.700996239980062,20.9520441691081,0.0326037469009558,4.70519987742106,27.4534204800924,95.5202039082845,50,4,2,35.627944,1.162252
975,0.832135558128357,0.961751103401184,0.759736403822899,0.706173926591873,22.6230664253235,0.0431863833218813,4.64523375034332,7.97081196308136,80.0972509384155,100,1,1,35.469781,0.993899
976,0.836949129899343,0.944870591163635,0.745507478713989,0.712491591771444,21.0470765431722,0.0264298226684332,5.09552494684855,15.8286366462708,63.0537592569987,100,2,2,35.471878,0.948165
977,0.833458364009857,0.943241814772288,0.741311887900035,0.712974528471629,21.3951956431071,0.0195385105907917,4.7451745669047,15.5611804326375,54.4801470438639,100,1,1,35.316381,1.114859
978,0.833921154340108,0.950209776560465,0.765596191088359,0.715903719266256,24.3504816691081,0.0195797197520733,4.59364446004232,10.2875398000081,48.5751876831055,100,3,3,35.362072,1.089774
979,0.839142203330994,0.921354413032532,0.767668724060059,0.693581521511078,23.4690437316895,0.0385090932250023,4.72252655029297,7.28184270858765,33.6227836608887,83.3333333333333,6,5,35.407117,0.978248
980,0.832288384437561,0.964604139328003,0.730520367622376,0.703707873821259,19.8565044403076,0.0619900934398174,4.41262817382813,11.312292098999,91.3212280273438,100,1,1,35.322781,1.053675
981,0.832288384437561,0.964604139328003,0.730520367622376,0.703707873821259,19.8565044403076,0.0619900934398174,4.41262817382813,11.312292098999,91.3212280273438,100,2,2,35.56787,0.967799
982,0.829415341218313,0.949311713377635,0.754136820634206,0.706207633018494,23.2922007242839,0.0501718521118164,4.3245948155721,24.0074823697408,96.5224177042643,75,4,3,35.557741,0.981944
983,0.838493973016739,0.943972632288933,0.76799900829792,0.709989190101624,21.2996392250061,0.015042366925627,4.77543544769287,12.6481326818466,82.8517608642578,100,3,3,35.577628,1.004469
984,0.838871081670125,0.958411335945129,0.781390905380249,0.717498123645783,22.3248507181803,0.0225184351826708,4.74999761581421,10.8367063204447,74.4000447591146,100,2,2,35.437112,1.128549
985,0.827372352282206,0.96528697013855,0.804213503996531,0.699768582979838,26.0246028900147,0.272110186517239,5.6248369216919,2.35284121831258,23.6136817932129,100,6,6,35.399848,1.139522
